NMeta,Pi,Time
1,3.1403672000,0.004994366
2,3.1426568000,0.002106791
3,3.1404016000,0.003520532
4,3.1406392000,0.004627618
5,3.1418336000,0.009965970
6,3.1412992000,0.010187004
7,3.1421424000,0.010033827
8,3.1416048000,0.006932902
9,3.1422424000,0.002532709
10,3.1412440000,0.002244410
11,3.1416936000,0.002295685
12,3.1412952000,0.002349386
13,3.1418904000,0.002162936
14,3.1418232000,0.002346821
15,3.1413176000,0.002322456
16,3.1417616000,0.002252544
17,3.1408568000,0.002341201
18,3.1423680000,0.002504346
19,3.1420480000,0.002256962
20,3.1411560000,0.002318158
21,3.1419280000,0.002374122
22,3.1422080000,0.002330771
23,3.1404456000,0.002237857
24,3.1420616000,0.002422914
25,3.1413008000,0.002441769
26,3.1416200000,0.002244700
27,3.1418184000,0.002816441
28,3.1400968000,0.004044414
29,3.1421560000,0.002341882
30,3.1398976000,0.002233308
31,3.1408896000,0.002246513
32,3.1402992000,0.002310773
33,3.1409232000,0.002234751
34,3.1426928000,0.002328367
35,3.1408880000,0.002138150
36,3.1415400000,0.002250129
37,3.1421096000,0.002349797
38,3.1423256000,0.003134499
39,3.1431224000,0.002301726
40,3.1415608000,0.002283833
41,3.1408160000,0.002279255
42,3.1417424000,0.002305143
43,3.1415488000,0.002186079
44,3.1409576000,0.002264768
45,3.1423296000,0.002300574
46,3.1411504000,0.002245281
47,3.1415080000,0.002255019
48,3.1419056000,0.002297087
49,3.1418504000,0.002266771
50,3.1406232000,0.002264987
51,3.1436088000,0.002109366
52,3.1403960000,0.002198583
53,3.1409304000,0.002272141
54,3.1417640000,0.002190438
55,3.1413808000,0.002273684
56,3.1424832000,0.002199906
57,3.1423560000,0.002195778
58,3.1420688000,0.002302899
59,3.1419080000,0.002189917
60,3.1419640000,0.002188845
61,3.1411304000,0.002290205
62,3.1428552000,0.002262302
63,3.1429232000,0.002189727
64,3.1429424000,0.002263805
65,3.1417912000,0.002189006
66,3.1428208000,0.002299642
67,3.1425592000,0.002251563
68,3.1407888000,0.002390984
69,3.1426104000,0.003184652
70,3.1413208000,0.002127009
71,3.1402488000,0.002457369
72,3.1416936000,0.002138861
73,3.1411184000,0.002459522
74,3.1411216000,0.002189536
75,3.1421464000,0.002209804
76,3.1420456000,0.002415360
77,3.1405144000,0.002194285
78,3.1412448000,0.002189436
79,3.1406056000,0.002434495
80,3.1417128000,0.002112763
