"U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-5.305253222e-16,0,10000000,1004.48999,1,0,0,0.0549999997,0
4.131312398e-14,-8.64751553e-16,0,10000000,1004.48999,1,0.0005000000237,0.0005000000237,0.0549999997,0
8.262624797e-14,-1.19897789e-15,0,10000000,1004.48999,1,0.001000000047,0.001000000047,0.0549999997,0
1.239393652e-13,-1.533204068e-15,0,10000000,1004.48999,1,0.001500000013,0.001500000013,0.0549999997,0
1.652524959e-13,-1.867430457e-15,0,10000000,1004.48999,1,0.002000000095,0.002000000095,0.0549999997,0
2.065656267e-13,-2.201656741e-15,0,10000000,1004.48999,1,0.002500000177,0.002500000177,0.0549999997,0
2.478787303e-13,-2.535882813e-15,0,10000000,1004.48999,1,0.003000000026,0.003000000026,0.0549999997,0
3.253019327e-13,-2.785224749e-15,0,10000000,1004.48999,1,0.003500000108,0.003500000108,0.0549999997,0
4.749452242e-13,-2.864797777e-15,0,10000000,1004.48999,1,0.00400000019,0.00400000019,0.0549999997,0
6.245885428e-13,-2.944370804e-15,0,10000000,1004.48999,1,0.004500000272,0.004500000272,0.0549999997,0
7.742318613e-13,-3.023944044e-15,0,10000000,1004.48999,1,0.005000000354,0.005000000354,0.0549999997,0
9.238751257e-13,-3.103517072e-15,0,10000000,1004.48999,1,0.005500000436,0.005500000436,0.0549999997,0
1.073518336e-12,-3.1830901e-15,0,10000000,1004.48999,1,0.006000000052,0.006000000052,0.0549999997,0
1.223161654e-12,-3.262663128e-15,0,10000000,1004.48999,1,0.006500000134,0.006500000134,0.0549999997,0
1.701827264e-12,-3.018607101e-15,0,10000000,1004.48999,1,0.007000000216,0.007000000216,0.0549999997,0
2.345003965e-12,-2.612736653e-15,0,10000000,1004.48999,1,0.007500000298,0.007500000298,0.0549999997,0
2.988180666e-12,-2.206866205e-15,0,10000000,1004.48999,1,0.00800000038,0.00800000038,0.0549999997,0
3.631357368e-12,-1.800995757e-15,0,10000000,1004.48999,1,0.008500000462,0.008500000462,0.0549999997,0
4.274534286e-12,-1.395125309e-15,0,10000000,1004.48999,1,0.009000000544,0.009000000544,0.0549999997,0
4.91771077e-12,-9.892548613e-16,0,10000000,1004.48999,1,0.009500000626,0.009500000626,0.0549999997,0
5.560891591e-12,-5.83385525e-16,0,10000000,1004.48999,1,0.01000000071,0.01000000071,0.0549999997,0
