"U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.379355779e-15,-2.652611153e-15,0,10000000,1004.48999,1,0,0,0.0549999997,0
1.23611499e-15,-2.636695404e-15,0,10000000,1004.48999,1,0.0005000000237,0.0005000000237,0.0549999997,0
1.092874096e-15,-2.620779655e-15,0,10000000,1004.48999,1,0.001000000047,0.001000000047,0.0549999997,0
9.49633307e-16,-2.604863906e-15,0,10000000,1004.48999,1,0.001500000013,0.001500000013,0.0549999997,0
8.063924653e-16,-2.588948368e-15,0,10000000,1004.48999,1,0.002000000095,0.002000000095,0.0549999997,0
6.631515706e-16,-2.573032619e-15,0,10000000,1004.48999,1,0.002500000177,0.002500000177,0.0549999997,0
5.199108347e-16,-2.55711687e-15,0,10000000,1004.48999,1,0.003000000026,0.003000000026,0.0549999997,0
3.607542704e-16,-2.543853816e-15,0,10000000,1004.48999,1,0.003500000108,0.003500000108,0.0549999997,0
1.697663799e-16,-2.53589573e-15,0,10000000,1004.48999,1,0.00400000019,0.00400000019,0.0549999997,0
-2.122152376e-17,-2.527937856e-15,0,10000000,1004.48999,1,0.004500000272,0.004500000272,0.0549999997,0
-2.122094274e-16,-2.519979769e-15,0,10000000,1004.48999,1,0.005000000354,0.005000000354,0.0549999997,0
-4.031973179e-16,-2.512021895e-15,0,10000000,1004.48999,1,0.005500000436,0.005500000436,0.0549999997,0
-5.941850363e-16,-2.50406402e-15,0,10000000,1004.48999,1,0.006000000052,0.006000000052,0.0549999997,0
-7.851729664e-16,-2.496105934e-15,0,10000000,1004.48999,1,0.006500000134,0.006500000134,0.0549999997,0
-9.018879656e-16,-2.350212344e-15,0,10000000,1004.48999,1,0.007000000216,0.007000000216,0.0549999997,0
-9.81466711e-16,-2.13535079e-15,0,10000000,1004.48999,1,0.007500000298,0.007500000298,0.0549999997,0
-1.06104535e-15,-1.920489448e-15,0,10000000,1004.48999,1,0.00800000038,0.00800000038,0.0549999997,0
-1.14062399e-15,-1.705627894e-15,0,10000000,1004.48999,1,0.008500000462,0.008500000462,0.0549999997,0
-1.22020263e-15,-1.490766446e-15,0,10000000,1004.48999,1,0.009000000544,0.009000000544,0.0549999997,0
-1.299781269e-15,-1.275904998e-15,0,10000000,1004.48999,1,0.009500000626,0.009500000626,0.0549999997,0
-1.37936012e-15,-1.061043445e-15,0,10000000,1004.48999,1,0.01000000071,0.01000000071,0.0549999997,0
-1.562390599e-15,-8.302664065e-16,0,10000000,1004.48999,1,0.01050000079,0.01050000079,0.0549999997,0
-1.745421184e-15,-5.994893684e-16,0,10000000,1004.48999,1,0.01100000087,0.01100000087,0.0549999997,0
-1.928451346e-15,-3.687127802e-16,0,10000000,1004.48999,1,0.01150000002,0.01150000002,0.0549999997,0
-2.111481825e-15,-1.37935742e-16,0,10000000,1004.48999,1,0.0120000001,0.0120000001,0.0549999997,0
-2.294512516e-15,9.284130273e-17,0,10000000,1004.48999,1,0.01250000019,0.01250000019,0.0549999997,0
-2.477542995e-15,3.236183343e-16,0,10000000,1004.48999,1,0.01300000027,0.01300000027,0.0549999997,0
-2.549163654e-15,5.331745236e-16,0,10000000,1004.48999,1,0.01350000035,0.01350000035,0.0549999997,0
-2.397964673e-15,7.002888831e-16,0,10000000,1004.48999,1,0.01400000043,0.01400000043,0.0549999997,0
-2.246765481e-15,8.674032955e-16,0,10000000,1004.48999,1,0.01450000051,0.01450000051,0.0549999997,0
-2.0955665e-15,1.034517761e-15,0,10000000,1004.48999,1,0.0150000006,0.0150000006,0.0549999997,0
-1.944367307e-15,1.201632067e-15,0,10000000,1004.48999,1,0.01550000068,0.01550000068,0.0549999997,0
-1.793168326e-15,1.36874648e-15,0,10000000,1004.48999,1,0.01600000076,0.01600000076,0.0549999997,0
-1.641969557e-15,1.535860575e-15,0,10000000,1004.48999,1,0.01649999991,0.01649999991,0.0549999997,0
-1.387318101e-15,1.840911338e-15,0,10000000,1004.48999,1,0.01700000092,0.01700000092,0.0549999997,0
-1.080941519e-15,2.2149289e-15,0,10000000,1004.48999,1,0.01750000007,0.01750000007,0.0549999997,0
-7.745637729e-16,2.588947945e-15,0,10000000,1004.48999,1,0.01800000109,0.01800000109,0.0549999997,0
-4.681871913e-16,2.962965507e-15,0,10000000,1004.48999,1,0.01850000024,0.01850000024,0.0549999997,0
-1.618094451e-16,3.336984552e-15,0,10000000,1004.48999,1,0.01900000125,0.01900000125,0.0549999997,0
1.445671365e-16,3.711002114e-15,0,10000000,1004.48999,1,0.0195000004,0.0195000004,0.0549999997,0
4.509433475e-16,4.0850201e-15,0,10000000,1004.48999,1,0.02000000142,0.02000000142,0.0549999997,0
3.435129412e-16,4.132766923e-15,0,10000000,1004.48999,1,0.02050000057,0.02050000057,0.0549999997,0
2.360821379e-16,4.180513747e-15,0,10000000,1004.48999,1,0.02100000158,0.02100000158,0.0549999997,0
1.286517315e-16,4.228260571e-15,0,10000000,1004.48999,1,0.02150000073,0.02150000073,0.0549999997,0
2.122092984e-17,4.276007818e-15,0,10000000,1004.48999,1,0.02200000174,0.02200000174,0.0549999997,0
-8.620947151e-17,4.323754642e-15,0,10000000,1004.48999,1,0.02250000089,0.02250000089,0.0549999997,0
-1.936398712e-16,4.371501465e-15,0,10000000,1004.48999,1,0.02300000004,0.02300000004,0.0549999997,0
-2.413866023e-16,4.323754218e-15,0,10000000,1004.48999,1,0.02350000106,0.02350000106,0.0549999997,0
-1.697661549e-16,4.085019676e-15,0,10000000,1004.48999,1,0.02400000021,0.02400000021,0.0549999997,0
-9.814543628e-17,3.846283863e-15,0,10000000,1004.48999,1,0.02450000122,0.02450000122,0.0549999997,0
-2.652497902e-17,3.607549321e-15,0,10000000,1004.48999,1,0.02500000037,0.02500000037,0.0549999997,0
