"U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.03199207783,-0.6964766979,0,7086345,1003.172485,1,0,0,0.0549999997,0
0.03683155403,-0.696767509,0,7086286.5,1003.172485,1,0.0005000000237,0.0005000000237,0.0549999997,0
0.04167103395,-0.6970582604,0,7086228,1003.172485,1,0.001000000047,0.001000000047,0.0549999997,0
0.04651051015,-0.6973490715,0,7086169.5,1003.172485,1,0.001500000013,0.001500000013,0.0549999997,0
0.05134999007,-0.6976398826,0,7086111,1003.172485,1,0.002000000095,0.002000000095,0.0549999997,0
0.05618946999,-0.697930634,0,7086052.5,1003.172485,1,0.002500000177,0.002500000177,0.0549999997,0
0.06102894619,-0.6982214451,0,7085994,1003.172485,1,0.003000000026,0.003000000026,0.0549999997,0
0.06751890481,-0.6987005472,0,7085907,1003.172424,1,0.003500000108,0.003500000108,0.0549999997,0
0.07730980963,-0.6995561719,0,7085762.5,1003.172241,1,0.00400000019,0.00400000019,0.0549999997,0
0.0871007219,-0.7004117966,0,7085618.5,1003.172058,1,0.004500000272,0.004500000272,0.0549999997,0
0.09689162672,-0.7012674212,0,7085474.5,1003.171875,1,0.005000000354,0.005000000354,0.0549999997,0
0.106682539,-0.7021230459,0,7085330,1003.171692,1,0.005500000436,0.005500000436,0.0549999997,0
0.1164734364,-0.7029786706,0,7085186,1003.171509,1,0.006000000052,0.006000000052,0.0549999997,0
0.1262643486,-0.7038342953,0,7085042,1003.171326,1,0.006500000134,0.006500000134,0.0549999997,0
0.1362661868,-0.7050449848,0,7084898.5,1003.171082,1,0.007000000216,0.007000000216,0.0549999997,0
0.1463734955,-0.7064332962,0,7084755.5,1003.170898,1,0.007500000298,0.007500000298,0.0549999997,0
0.1564808041,-0.7078216076,0,7084612.5,1003.170715,1,0.00800000038,0.00800000038,0.0549999997,0
0.1665881127,-0.709209919,0,7084470,1003.170532,1,0.008500000462,0.008500000462,0.0549999997,0
0.1766954064,-0.7105981708,0,7084327,1003.170349,1,0.009000000544,0.009000000544,0.0549999997,0
0.1868027151,-0.7119864821,0,7084184,1003.170166,1,0.009500000626,0.009500000626,0.0549999997,0
