"U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.1117654964,-8.335136954e-05,0,8723035,1003.914978,1,0,0,0.0549999997,0
0.1277971268,-8.551072096e-05,0,8722282,1003.914612,1,0.0005000000237,0.0005000000237,0.0549999997,0
0.1438287497,-8.767007239e-05,0,8721529,1003.914246,1,0.001000000047,0.001000000047,0.0549999997,0
0.1598603725,-8.982942381e-05,0,8720776,1003.913879,1,0.001500000013,0.001500000013,0.0549999997,0
0.1758919954,-9.198877524e-05,0,8720022,1003.913452,1,0.002000000095,0.002000000095,0.0549999997,0
0.1919236332,-9.414813394e-05,0,8719269,1003.913086,1,0.002500000177,0.002500000177,0.0549999997,0
0.2079552561,-9.630747809e-05,0,8718516,1003.91272,1,0.003000000026,0.003000000026,0.0549999997,0
0.2286427319,-0.0001001067358,0,8717472,1003.912231,1,0.003500000108,0.003500000108,0.0549999997,0
0.2586419284,-0.0001071857841,0,8715847,1003.911499,1,0.00400000019,0.00400000019,0.0549999997,0
0.288641125,-0.0001142648325,0,8714222,1003.910706,1,0.004500000272,0.004500000272,0.0549999997,0
0.3186403215,-0.0001213438809,0,8712596,1003.909973,1,0.005000000354,0.005000000354,0.0549999997,0
0.348639518,-0.000128422922,0,8710971,1003.909241,1,0.005500000436,0.005500000436,0.0549999997,0
0.3786387146,-0.0001355019776,0,8709346,1003.908447,1,0.006000000052,0.006000000052,0.0549999997,0
0.4086379111,-0.0001425810187,0,8707720,1003.907715,1,0.006500000134,0.006500000134,0.0549999997,0
0.435264498,-0.0001541961537,0,8706541,1003.906982,1,0.007000000216,0.007000000216,0.0549999997,0
0.4602047801,-0.0001680793212,0,8705584,1003.90625,1,0.007500000298,0.007500000298,0.0549999997,0
0.4851450622,-0.0001819624886,0,8704628,1003.905518,1,0.00800000038,0.00800000038,0.0549999997,0
0.5100853443,-0.000195845656,0,8703671,1003.904724,1,0.008500000462,0.008500000462,0.0549999997,0
0.5350255966,-0.0002097288234,0,8702715,1003.903992,1,0.009000000544,0.009000000544,0.0549999997,0
0.5599659085,-0.0002236119908,0,8701758,1003.903259,1,0.009500000626,0.009500000626,0.0549999997,0
0.5849061608,-0.0002374951728,0,8700802,1003.902527,1,0.01000000071,0.01000000071,0.0549999997,0
0.6035054326,-0.0002616095589,0,8702119,1003.902893,1,0.01050000079,0.01050000079,0.0549999997,0
0.622104764,-0.0002857239451,0,8703436,1003.903259,1,0.01100000087,0.01100000087,0.0549999997,0
0.6407039762,-0.0003098383022,0,8704753,1003.903625,1,0.01150000002,0.01150000002,0.0549999997,0
0.6593033075,-0.0003339526884,0,8706070,1003.904053,1,0.0120000001,0.0120000001,0.0549999997,0
0.6779025793,-0.0003580670746,0,8707387,1003.904419,1,0.01250000019,0.01250000019,0.0549999997,0
0.6965018511,-0.0003821814607,0,8708704,1003.904785,1,0.01300000027,0.01300000027,0.0549999997,0
0.7129557133,-0.0004114955082,0,8711064,1003.905762,1,0.01350000035,0.01350000035,0.0549999997,0
0.7251187563,-0.000451208849,0,8715508,1003.90802,1,0.01400000043,0.01400000043,0.0549999997,0
0.7372817993,-0.0004909221898,0,8719952,1003.910278,1,0.01450000051,0.01450000051,0.0549999997,0
0.7494447827,-0.0005306355306,0,8724396,1003.912476,1,0.0150000006,0.0150000006,0.0549999997,0
0.7616078258,-0.0005703488714,0,8728840,1003.914734,1,0.01550000068,0.01550000068,0.0549999997,0
0.7737708688,-0.0006100622704,0,8733284,1003.916992,1,0.01600000076,0.01600000076,0.0549999997,0
0.7859338522,-0.0006497754948,0,8737729,1003.91925,1,0.01649999991,0.01649999991,0.0549999997,0
0.7944675684,-0.000705090235,0,8744068,1003.922485,1,0.01700000092,0.01700000092,0.0549999997,0
0.8011865616,-0.0007682055002,0,8751355,1003.926208,1,0.01750000007,0.01750000007,0.0549999997,0
0.8079056144,-0.0008313209401,0,8758643,1003.929993,1,0.01800000109,0.01800000109,0.0549999997,0
0.8146246672,-0.0008944361471,0,8765930,1003.933777,1,0.01850000024,0.01850000024,0.0549999997,0
0.8213436604,-0.0009575515869,0,8773217,1003.9375,1,0.01900000125,0.01900000125,0.0549999997,0
0.8280627131,-0.001020666794,0,8780505,1003.941284,1,0.0195000004,0.0195000004,0.0549999997,0
0.8347817063,-0.001083782408,0,8787792,1003.945007,1,0.02000000142,0.02000000142,0.0549999997,0
0.8377488852,-0.001181099913,0,8796694,1003.949341,1,0.02050000057,0.02050000057,0.0549999997,0
0.8407160044,-0.001278417767,0,8805595,1003.953613,1,0.02100000158,0.02100000158,0.0549999997,0
0.8436831832,-0.001375735272,0,8814497,1003.957947,1,0.02150000073,0.02150000073,0.0549999997,0
0.8466503024,-0.001473053126,0,8823398,1003.96228,1,0.02200000174,0.02200000174,0.0549999997,0
0.8496174812,-0.00157037063,0,8832300,1003.966553,1,0.02250000089,0.02250000089,0.0549999997,0
0.8525846004,-0.001667688135,0,8841202,1003.970886,1,0.02300000004,0.02300000004,0.0549999997,0
0.8549121618,-0.001781161875,0,8850125,1003.974976,1,0.02350000106,0.02350000106,0.0549999997,0
0.8559604883,-0.001926946919,0,8859091,1003.97876,1,0.02400000021,0.02400000021,0.0549999997,0
0.8570088148,-0.00207273243,0,8868057,1003.982483,1,0.02450000122,0.02450000122,0.0549999997,0
0.8580572009,-0.002218517475,0,8877024,1003.986267,1,0.02500000037,0.02500000037,0.0549999997,0
0.8591055274,-0.002364302985,0,8885990,1003.98999,1,0.02550000139,0.02550000139,0.0549999997,0
0.8601538539,-0.00251008803,0,8894956,1003.993774,1,0.02600000054,0.02600000054,0.0549999997,0
0.8612021804,-0.002655873541,0,8903923,1003.997498,1,0.02650000155,0.02650000155,0.0549999997,0
0.8619517684,-0.002845859155,0,8912141,1004.000854,1,0.0270000007,0.0270000007,0.0549999997,0
0.8625520468,-0.003057945985,0,8919986,1004.004089,1,0.02750000171,0.02750000171,0.0549999997,0
0.8631522655,-0.003270031884,0,8927831,1004.007263,1,0.02800000086,0.02800000086,0.0549999997,0
0.8637524843,-0.003482118482,0,8935676,1004.010437,1,0.02850000188,0.02850000188,0.0549999997,0
0.8643527627,-0.003694204381,0,8943521,1004.013611,1,0.02900000103,0.02900000103,0.0549999997,0
0.8649529815,-0.003906290978,0,8951366,1004.016846,1,0.02950000204,0.02950000204,0.0549999997,0
0.8655532598,-0.004118377343,0,8959211,1004.02002,1,0.03000000119,0.03000000119,0.0549999997,0
0.8665759563,-0.004417891614,0,8965458,1004.02301,1,0.03050000034,0.03050000034,0.0549999997,0
0.8675986528,-0.004717406817,0,8971705,1004.026001,1,0.03100000136,0.03100000136,0.0549999997,0
0.8686214089,-0.005016921088,0,8977951,1004.029053,1,0.03150000051,0.03150000051,0.0549999997,0
0.8696441054,-0.005316436291,0,8984198,1004.032043,1,0.03200000152,0.03200000152,0.0549999997,0
0.8706668615,-0.005615951493,0,8990445,1004.035034,1,0.03250000253,0.03250000253,0.0549999997,0
0.871689558,-0.005915464833,0,8996692,1004.038025,1,0.03299999982,0.03299999982,0.0549999997,0
0.8729698062,-0.006251986604,0,9002444,1004.040771,1,0.03350000083,0.03350000083,0.0549999997,0
0.8747650981,-0.006662523374,0,9007208,1004.04303,1,0.03400000185,0.03400000185,0.0549999997,0
0.8765603304,-0.007073059678,0,9011971,1004.045288,1,0.03450000286,0.03450000286,0.0549999997,0
0.8783556223,-0.007483593188,0,9016734,1004.047485,1,0.03500000015,0.03500000015,0.0549999997,0
0.8801509142,-0.007894129492,0,9021498,1004.049744,1,0.03550000116,0.03550000116,0.0549999997,0
0.8819462061,-0.008304665796,0,9026261,1004.052002,1,0.03600000218,0.03600000218,0.0549999997,0
0.8837414384,-0.008715203032,0,9031025,1004.05426,1,0.03650000319,0.03650000319,0.0549999997,0
0.8861092925,-0.009215959348,0,9035021,1004.055969,1,0.03700000048,0.03700000048,0.0549999997,0
0.8887633681,-0.009761829861,0,9038633,1004.057495,1,0.03750000149,0.03750000149,0.0549999997,0
0.8914175034,-0.0103077013,0,9042246,1004.059021,1,0.0380000025,0.0380000025,0.0549999997,0
0.894071579,-0.01085356809,0,9045858,1004.060486,1,0.03849999979,0.03849999979,0.0549999997,0
0.8967256546,-0.0113994386,0,9049470,1004.062012,1,0.0390000008,0.0390000008,0.0549999997,0
0.8993797898,-0.01194530912,0,9053083,1004.063477,1,0.03950000182,0.03950000182,0.0549999997,0
0.9020338655,-0.01249118149,0,9056695,1004.065002,1,0.04000000283,0.04000000283,0.0549999997,0
0.9055911899,-0.01319436543,0,9059409,1004.066345,1,0.04050000012,0.04050000012,0.0549999997,0
0.9091484547,-0.01389755402,0,9062123,1004.067627,1,0.04100000113,0.04100000113,0.0549999997,0
0.9127057791,-0.01460074354,0,9064837,1004.06897,1,0.04150000215,0.04150000215,0.0549999997,0
