"N","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","sum(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","sum(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","sum(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","sum(U (Magnitude))","min(p)","q1(p)","med(p)","q3(p)","max(p)","avg(p)","std(p)","sum(p)","min(rho)","q1(rho)","med(rho)","q3(rho)","max(rho)","avg(rho)","std(rho)","sum(rho)","min(vtkValidPointMask)","q1(vtkValidPointMask)","med(vtkValidPointMask)","q3(vtkValidPointMask)","max(vtkValidPointMask)","avg(vtkValidPointMask)","std(vtkValidPointMask)","sum(vtkValidPointMask)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","sum(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","sum(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","sum(Z)","vtkValidPointMask","Time"
1,4.904642582,4.904642582,4.904642582,4.904642582,4.904642582,4.904642582,0,4.904642582,1.823253228e-07,1.823253228e-07,1.823253228e-07,1.823253228e-07,1.823253228e-07,1.823253228e-07,0,1.823253228e-07,0,0,0,0,0,0,0,0,4.904642582,4.904642582,4.904642582,4.904642582,4.904642582,4.904642582,0,4.904642582,2377925,2377925,2377925,2377925,2377925,2377925,0,2377925,1001.031738,1001.031738,1001.031738,1001.031738,1001.031738,1001.031738,0,1001.031738,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,5e-06
1,6.918152809,6.918152809,6.918152809,6.918152809,6.918152809,6.918152809,0,6.918152809,1.823102139e-06,1.823102139e-06,1.823102139e-06,1.823102139e-06,1.823102139e-06,1.823102139e-06,0,1.823102139e-06,0,0,0,0,0,0,0,0,6.918152809,6.918152809,6.918152809,6.918152809,6.918152809,6.918152809,0,6.918152809,-413597.6875,-413597.6875,-413597.6875,-413597.6875,-413597.6875,-413597.6875,0,-413597.6875,999.7667847,999.7667847,999.7667847,999.7667847,999.7667847,999.7667847,0,999.7667847,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,1e-05
1,6.613387108,6.613387108,6.613387108,6.613387108,6.613387108,6.613387108,0,6.613387108,9.529546219e-07,9.529546219e-07,9.529546219e-07,9.529546219e-07,9.529546219e-07,9.529546219e-07,0,9.529546219e-07,0,0,0,0,0,0,0,0,6.613387108,6.613387108,6.613387108,6.613387108,6.613387108,6.613387108,0,6.613387108,89629.53125,89629.53125,89629.53125,89629.53125,89629.53125,89629.53125,0,89629.53125,999.9937744,999.9937744,999.9937744,999.9937744,999.9937744,999.9937744,0,999.9937744,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,1.5e-05
1,6.676310062,6.676310062,6.676310062,6.676310062,6.676310062,6.676310062,0,6.676310062,1.705439416e-07,1.705439416e-07,1.705439416e-07,1.705439416e-07,1.705439416e-07,1.705439416e-07,0,1.705439416e-07,0,0,0,0,0,0,0,0,6.676310062,6.676310062,6.676310062,6.676310062,6.676310062,6.676310062,0,6.676310062,9500.674805,9500.674805,9500.674805,9500.674805,9500.674805,9500.674805,0,9500.674805,999.9592285,999.9592285,999.9592285,999.9592285,999.9592285,999.9592285,0,999.9592285,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,2e-05
1,6.684412479,6.684412479,6.684412479,6.684412479,6.684412479,6.684412479,0,6.684412479,-3.483025068e-07,-3.483025068e-07,-3.483025068e-07,-3.483025068e-07,-3.483025068e-07,-3.483025068e-07,0,-3.483025068e-07,0,0,0,0,0,0,0,0,6.684412479,6.684412479,6.684412479,6.684412479,6.684412479,6.684412479,0,6.684412479,13433.43945,13433.43945,13433.43945,13433.43945,13433.43945,13433.43945,0,13433.43945,999.9605103,999.9605103,999.9605103,999.9605103,999.9605103,999.9605103,0,999.9605103,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,2.5e-05
1,6.693822384,6.693822384,6.693822384,6.693822384,6.693822384,6.693822384,0,6.693822384,2.703440884e-07,2.703440884e-07,2.703440884e-07,2.703440884e-07,2.703440884e-07,2.703440884e-07,0,2.703440884e-07,0,0,0,0,0,0,0,0,6.693822384,6.693822384,6.693822384,6.693822384,6.693822384,6.693822384,0,6.693822384,9983.71875,9983.71875,9983.71875,9983.71875,9983.71875,9983.71875,0,9983.71875,999.9589844,999.9589844,999.9589844,999.9589844,999.9589844,999.9589844,0,999.9589844,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,3e-05
1,6.700745106,6.700745106,6.700745106,6.700745106,6.700745106,6.700745106,0,6.700745106,-5.649751333e-09,-5.649751333e-09,-5.649751333e-09,-5.649751333e-09,-5.649751333e-09,-5.649751333e-09,0,-5.649751333e-09,0,0,0,0,0,0,0,0,6.700745106,6.700745106,6.700745106,6.700745106,6.700745106,6.700745106,0,6.700745106,7989.983398,7989.983398,7989.983398,7989.983398,7989.983398,7989.983398,0,7989.983398,999.9580078,999.9580078,999.9580078,999.9580078,999.9580078,999.9580078,0,999.9580078,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,3.5e-05
1,6.706002235,6.706002235,6.706002235,6.706002235,6.706002235,6.706002235,0,6.706002235,2.340605221e-08,2.340605221e-08,2.340605221e-08,2.340605221e-08,2.340605221e-08,2.340605221e-08,0,2.340605221e-08,0,0,0,0,0,0,0,0,6.706002235,6.706002235,6.706002235,6.706002235,6.706002235,6.706002235,0,6.706002235,6613.279785,6613.279785,6613.279785,6613.279785,6613.279785,6613.279785,0,6613.279785,999.9577637,999.9577637,999.9577637,999.9577637,999.9577637,999.9577637,0,999.9577637,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,4e-05
1,6.710262775,6.710262775,6.710262775,6.710262775,6.710262775,6.710262775,0,6.710262775,9.399109757e-08,9.399109757e-08,9.399109757e-08,9.399109757e-08,9.399109757e-08,9.399109757e-08,0,9.399109757e-08,0,0,0,0,0,0,0,0,6.710262775,6.710262775,6.710262775,6.710262775,6.710262775,6.710262775,0,6.710262775,5672.491699,5672.491699,5672.491699,5672.491699,5672.491699,5672.491699,0,5672.491699,999.9569702,999.9569702,999.9569702,999.9569702,999.9569702,999.9569702,0,999.9569702,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,4.5e-05
1,6.716567516,6.716567516,6.716567516,6.716567516,6.716567516,6.716567516,0,6.716567516,-7.640808519e-08,-7.640808519e-08,-7.640808519e-08,-7.640808519e-08,-7.640808519e-08,-7.640808519e-08,0,-7.640808519e-08,0,0,0,0,0,0,0,0,6.716567516,6.716567516,6.716567516,6.716567516,6.716567516,6.716567516,0,6.716567516,8877.520508,8877.520508,8877.520508,8877.520508,8877.520508,8877.520508,0,8877.520508,999.9587402,999.9587402,999.9587402,999.9587402,999.9587402,999.9587402,0,999.9587402,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,5e-05
