"N","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","sum(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","sum(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","sum(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","sum(U (Magnitude))","min(p)","q1(p)","med(p)","q3(p)","max(p)","avg(p)","std(p)","sum(p)","min(rho)","q1(rho)","med(rho)","q3(rho)","max(rho)","avg(rho)","std(rho)","sum(rho)","min(vtkValidPointMask)","q1(vtkValidPointMask)","med(vtkValidPointMask)","q3(vtkValidPointMask)","max(vtkValidPointMask)","avg(vtkValidPointMask)","std(vtkValidPointMask)","sum(vtkValidPointMask)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","sum(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","sum(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","sum(Z)","vtkValidPointMask","Time"
1,2.387352409e-15,2.387352409e-15,2.387352409e-15,2.387352409e-15,2.387352409e-15,2.387352409e-15,0,2.387352409e-15,2.015985425e-15,2.015985425e-15,2.015985425e-15,2.015985425e-15,2.015985425e-15,2.015985425e-15,0,2.015985425e-15,0,0,0,0,0,0,0,0,3.12468379e-15,3.12468379e-15,3.12468379e-15,3.12468379e-15,3.12468379e-15,3.12468379e-15,0,3.12468379e-15,10000000,10000000,10000000,10000000,10000000,10000000,0,10000000,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,0,1004.48999,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,5e-06
1,3.103556036e-15,3.103556036e-15,3.103556036e-15,3.103556036e-15,3.103556036e-15,3.103556036e-15,0,3.103556036e-15,1.326300918e-15,1.326300918e-15,1.326300918e-15,1.326300918e-15,1.326300918e-15,1.326300918e-15,0,1.326300918e-15,0,0,0,0,0,0,0,0,3.375075411e-15,3.375075411e-15,3.375075411e-15,3.375075411e-15,3.375075411e-15,3.375075411e-15,0,3.375075411e-15,10000000,10000000,10000000,10000000,10000000,10000000,0,10000000,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,0,1004.48999,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,1e-05
1,3.156606133e-15,3.156606133e-15,3.156606133e-15,3.156606133e-15,3.156606133e-15,3.156606133e-15,0,3.156606133e-15,-7.427370393e-16,-7.427370393e-16,-7.427370393e-16,-7.427370393e-16,-7.427370393e-16,-7.427370393e-16,0,-7.427370393e-16,0,0,0,0,0,0,0,0,3.242810581e-15,3.242810581e-15,3.242810581e-15,3.242810581e-15,3.242810581e-15,3.242810581e-15,0,3.242810581e-15,10000000,10000000,10000000,10000000,10000000,10000000,0,10000000,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,0,1004.48999,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,1.5e-05
1,3.395343216e-15,3.395343216e-15,3.395343216e-15,3.395343216e-15,3.395343216e-15,3.395343216e-15,0,3.395343216e-15,-8.488441684e-16,-8.488441684e-16,-8.488441684e-16,-8.488441684e-16,-8.488441684e-16,-8.488441684e-16,0,-8.488441684e-16,0,0,0,0,0,0,0,0,3.49984167e-15,3.49984167e-15,3.49984167e-15,3.49984167e-15,3.49984167e-15,3.49984167e-15,0,3.49984167e-15,10000000,10000000,10000000,10000000,10000000,10000000,0,10000000,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,0,1004.48999,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,2e-05
1,4.721651333e-15,4.721651333e-15,4.721651333e-15,4.721651333e-15,4.721651333e-15,4.721651333e-15,0,4.721651333e-15,-5.83581719e-16,-5.83581719e-16,-5.83581719e-16,-5.83581719e-16,-5.83581719e-16,-5.83581719e-16,0,-5.83581719e-16,0,0,0,0,0,0,0,0,4.757579083e-15,4.757579083e-15,4.757579083e-15,4.757579083e-15,4.757579083e-15,4.757579083e-15,0,4.757579083e-15,10000000,10000000,10000000,10000000,10000000,10000000,0,10000000,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,0,1004.48999,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,2.5e-05
1,1.557348001e-12,1.557348001e-12,1.557348001e-12,1.557348001e-12,1.557348001e-12,1.557348001e-12,0,1.557348001e-12,-1.379292146e-15,-1.379292146e-15,-1.379292146e-15,-1.379292146e-15,-1.379292146e-15,-1.379292146e-15,0,-1.379292146e-15,0,0,0,0,0,0,0,0,1.557348651e-12,1.557348651e-12,1.557348651e-12,1.557348651e-12,1.557348651e-12,1.557348651e-12,0,1.557348651e-12,10000000,10000000,10000000,10000000,10000000,10000000,0,10000000,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,0,1004.48999,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,3e-05
1,2.959008871e-10,2.959008871e-10,2.959008871e-10,2.959008871e-10,2.959008871e-10,2.959008871e-10,0,2.959008871e-10,-2.215970835e-14,-2.215970835e-14,-2.215970835e-14,-2.215970835e-14,-2.215970835e-14,-2.215970835e-14,0,-2.215970835e-14,0,0,0,0,0,0,0,0,2.959008871e-10,2.959008871e-10,2.959008871e-10,2.959008871e-10,2.959008871e-10,2.959008871e-10,0,2.959008871e-10,10000000,10000000,10000000,10000000,10000000,10000000,0,10000000,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,0,1004.48999,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,3.5e-05
1,2.482537553e-08,2.482537553e-08,2.482537553e-08,2.482537553e-08,2.482537553e-08,2.482537553e-08,0,2.482537553e-08,-1.393073916e-12,-1.393073916e-12,-1.393073916e-12,-1.393073916e-12,-1.393073916e-12,-1.393073916e-12,0,-1.393073916e-12,0,0,0,0,0,0,0,0,2.482537553e-08,2.482537553e-08,2.482537553e-08,2.482537553e-08,2.482537553e-08,2.482537553e-08,0,2.482537553e-08,10000000,10000000,10000000,10000000,10000000,10000000,0,10000000,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,0,1004.48999,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,4e-05
1,1.060844397e-06,1.060844397e-06,1.060844397e-06,1.060844397e-06,1.060844397e-06,1.060844397e-06,0,1.060844397e-06,-4.9553181e-11,-4.9553181e-11,-4.9553181e-11,-4.9553181e-11,-4.9553181e-11,-4.9553181e-11,0,-4.9553181e-11,0,0,0,0,0,0,0,0,1.060844397e-06,1.060844397e-06,1.060844397e-06,1.060844397e-06,1.060844397e-06,1.060844397e-06,0,1.060844397e-06,10000000,10000000,10000000,10000000,10000000,10000000,0,10000000,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,0,1004.48999,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,4.5e-05
1,2.554647472e-05,2.554647472e-05,2.554647472e-05,2.554647472e-05,2.554647472e-05,2.554647472e-05,0,2.554647472e-05,-1.005247219e-09,-1.005247219e-09,-1.005247219e-09,-1.005247219e-09,-1.005247219e-09,-1.005247219e-09,0,-1.005247219e-09,0,0,0,0,0,0,0,0,2.554647472e-05,2.554647472e-05,2.554647472e-05,2.554647472e-05,2.554647472e-05,2.554647472e-05,0,2.554647472e-05,9999965,9999965,9999965,9999965,9999965,9999965,0,9999965,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,0,1004.48999,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,5e-05
